name,coordinates
" ""Anniston""","""34.95303"""
" ""Huntsville""","""34.95303"""
" ""Anchorage""","""34.95303"""
" ""Mesa""","""34.95303"""
" ""Phoenix""","""34.95303"""
" ""Scottsdale""","""34.95303"""
" ""Tempe""","""34.95303"""
" ""Fayetteville""","""34.95303"""
" ""Fort Smith""","""34.95303"""
" ""Van Buren""","""34.95303"""
" ""Fullerton""","""34.95303"""
" ""La Mesa""","""34.95303"""
" ""Los Angeles""","""34.95303"""
" ""Mountain View ""","""34.95303"""
" ""Newport Beach""","""34.95303"""
" ""Sacramento""","""34.95303"""
" ""Red Bluff""","""34.95303"""
" ""Redding""","""34.95303"""
" ""San Francisco""","""34.95303"""
" ""San Ramon""","""34.95303"""
" ""Santa Ana""","""34.95303"""
" ""Santa Monica""","""34.95303"""
" ""Stanford""","""34.95303"""
" ""Centennial""","""34.95303"""
" ""Denver""","""34.95303"""
" ""Englewood""","""34.95303"""
" ""Loveland""","""34.95303"""
" ""Bristol""","""34.95303"""
" ""East Hartford""","""34.95303"""
" ""Shelton""","""34.95303"""
" ""Newark""","""34.95303"""
" ""null""","""34.95303"""
" ""Altamonte Springs""","""34.95303"""
" ""Davie""","""34.95303"""
" ""Jacksonville""","""34.95303"""
" ""Miami""","""34.95303"""
" ""Pensacola""","""34.95303"""
" ""Pompano Beach""","""34.95303"""
" ""Saint Cloud""","""34.95303"""
" ""Sebastian""","""34.95303"""
" ""Venice""","""34.95303"""
" ""Atlanta""","""34.95303"""
" ""Decatur""","""34.95303"""
" ""Fayetteville""","""34.95303"""
" ""Lawrenceville""","""34.95303"""
" ""Marietta""","""34.95303"""
" ""null""","""34.95303"""
" ""Aurora""","""34.95303"""
" ""Chicago""","""34.95303"""
" ""Glenview""","""34.95303"""
" ""Highland Park""","""34.95303"""
" ""Northbrook""","""34.95303"""
" ""Rockford""","""34.95303"""
" ""Indianapolis""","""34.95303"""
" ""Merrillville""","""34.95303"""
" ""New Albany""","""34.95303"""
" ""Johnston""","""34.95303"""
" ""Pella""","""34.95303"""
" ""Leawood""","""34.95303"""
" ""Olathe""","""34.95303"""
" ""Overland Park""","""34.95303"""
" ""Wichita""","""34.95303"""
" ""Crestview Hills""","""34.95303"""
" ""Madisonville""","""34.95303"""
" ""Baton Rouge""","""34.95303"""
" ""Covington""","""34.95303"""
" ""Lafayette""","""34.95303"""
" ""Metairie""","""34.95303"""
" ""New Iberia""","""34.95303"""
" ""Lewiston""","""34.95303"""
" ""Frederick""","""34.95303"""
" ""Pikesville""","""34.95303"""
" ""Towson""","""34.95303"""
" ""Boston""","""34.95303"""
" ""Lawrence""","""34.95303"""
" ""Lexington""","""34.95303"""
" ""North Easton""","""34.95303"""
" ""Norwood""","""34.95303"""
" ""Weymouth""","""34.95303"""
" ""Ann Arbor""","""34.95303"""
" ""Kentwood""","""34.95303"""
" ""Lansing""","""34.95303"""
" ""Portage""","""34.95303"""
" ""Pontiac""","""34.95303"""
" ""Cambridge""","""34.95303"""
" ""Eagan""","""34.95303"""
" ""Maplewood""","""34.95303"""
" ""null""","""34.95303"""
" ""Ballwin""","""34.95303"""
" ""Hannibal""","""34.95303"""
" ""Kansas City""","""34.95303"""
" ""Kennett""","""34.95303"""
" ""St. Louis""","""34.95303"""
" ""Holdrege""","""34.95303"""
" ""Lincoln""","""34.95303"""
" ""Reno""","""34.95303"""
" ""Sparks""","""34.95303"""
" ""Concord""","""34.95303"""
" ""Laconia""","""34.95303"""
" ""Bloomfield""","""34.95303"""
" ""Edison""","""34.95303"""
" ""Emerson""","""34.95303"""
" ""Kearny""","""34.95303"""
" ""Somers Point""","""34.95303"""
" ""Stafford""","""34.95303"""
" ""Summit""","""34.95303"""
" ""Turnersville""","""34.95303"""
" ""Alamogordo""","""34.95303"""
" ""Albuquerque""","""34.95303"""
" ""Capitan""","""34.95303"""
" ""Bay Shore""","""34.95303"""
" ""Bronx""","""34.95303"""
" ""Camillus""","""34.95303"""
" ""Canandaigua""","""34.95303"""
" ""Cedarhurst""","""34.95303"""
" ""New York""","""34.95303"""
" ""Owego""","""34.95303"""
" ""Rochester""","""34.95303"""
" ""Schenectady""","""34.95303"""
" ""Stony Brook""","""34.95303"""
" ""White Plains""","""34.95303"""
" ""Williamsville""","""34.95303"""
" ""Asheville""","""34.95303"""
" ""Chapel Hill""","""34.95303"""
" ""Clyde""","""34.95303"""
" ""Durham""","""34.95303"""
" ""Matthews""","""34.95303"""
" ""Raleigh""","""34.95303"""
" ""Rocky Mount""","""34.95303"""
" ""Winston-Salem""","""34.95303"""
" ""null""","""34.95303"""
" ""Cincinnati""","""34.95303"""
" ""Cleveland""","""34.95303"""
" ""Columbus""","""34.95303"""
" ""Grove City""","""34.95303"""
" ""Hilliard""","""34.95303"""
" ""Lewis Center""","""34.95303"""
" ""Westlake""","""34.95303"""
" ""Tulsa""","""34.95303"""
" ""Albany""","""34.95303"""
" ""Newport""","""34.95303"""
" ""Bala Cynwyd""","""34.95303"""
" ""Danville""","""34.95303"""
" ""Doylestown""","""34.95303"""
" ""Greensburg""","""34.95303"""
" ""Hershey""","""34.95303"""
" ""Jeannette""","""34.95303"""
" ""Meadowbrook""","""34.95303"""
" ""Philadelphia""","""34.95303"""
" ""Pittsburgh""","""34.95303"""
" ""Ridley Park ""","""34.95303"""
" ""null""","""34.95303"""
" ""Columbia""","""34.95303"""
" ""null""","""34.95303"""
" ""Clarksville""","""34.95303"""
" ""Germantown""","""34.95303"""
" ""Memphis""","""34.95303"""
" ""Nashville""","""34.95303"""
" ""Ooltewah""","""34.95303"""
" ""Abilene""","""34.95303"""
" ""Austin""","""34.95303"""
" ""Conroe""","""34.95303"""
" ""Dallas""","""34.95303"""
" ""Fort Worth""","""34.95303"""
" ""Gladewater""","""34.95303"""
" ""Houston""","""34.95303"""
" ""Longview""","""34.95303"""
" ""Pasadena""","""34.95303"""
" ""Richardson""","""34.95303"""
" ""Tyler""","""34.95303"""
" ""Beaver""","""34.95303"""
" ""Murray""","""34.95303"""
" ""Salt Lake City""","""34.95303"""
" ""Spanish Fork""","""34.95303"""
" ""Burlington""","""34.95303"""
" ""Rutland""","""34.95303"""
" ""Alexandria""","""34.95303"""
" ""Charlottesville""","""34.95303"""
" ""Blacksburg""","""34.95303"""
" ""Richmond""","""34.95303"""
" ""Virginia Beach""","""34.95303"""
" ""Woodbridge""","""34.95303"""
" ""Issaquah""","""34.95303"""
" ""Seattle""","""34.95303"""
" ""Madison""","""34.95303"""
" ""Manitowoc""","""34.95303"""
" ""Milwaukee""","""34.95303"""
" ""Stevens Point""","""34.95303"""
" ""Calgary""","""34.95303"""
" ""Edmonton""","""34.95303"""
" ""Vancouver""","""34.95303"""
" ""Winnipeg""","""34.95303"""
" ""Huntsville""","""34.95303"""
" ""Ottawa""","""34.95303"""
" ""Toronto""","""34.95303"""
" ""Montreal""","""34.95303"""
" ""Trois-Rivières""","""34.95303"""
" ""Saskatoon""","""34.95303"""