name,institution_id,City_id
”Dr. Anthony J. Esposito”,1,1
"Dr. Harry Lee McDaris, Jr",2,2
”Dr. Mary Downs”,null,3
”Dr. George Wang”,null,4
”Dr. Joseph R Cohen (DDS)”,3,5
”Dr. James L. Frey”,4,5
”Dr. Alan Hamilton (PCP)”,null,5
”Dr. Constantine G. Moschonas ”,5,6
”Dr. Jeffrey D. Steier ”,null,6
”Dr. Stephen D. Chakmakian PCP)”,null,7
”Dr. Joseph R. O'Connell (PCP)”,6,8
”Dr. William L. Griggs”,7,9
”Dr. Duane L. Birky”,8,9
”Dr. R. Wendell Ross (PCP)”,9,10
”Dr. Jack H. Florin”,10,11
”Dr. Robert William Hogan II (PCP) (Kaiser)”,null,12
”Dr. Yu Dennis Cheng”,null,12
”Dr. Antonio A. De Salles”,11,13
”Dr. Stephen Graff-Radford (DDS)”,12,13
”Dr. Paul B. Kazimiroff”,null,13
”Dr. Alan M. Rapoport”,13,13
”Dr. Kenneth S. Peters”,14,14
”Dr. Phillip O'Carroll”,15,15
”Dr. Olana Aberra (PCP)”,null,16
”Dr. John Bissell ”,16,16
"Dr. Daniel McDaniel",17,17
”Dr. Hamid Rabiee”,null,18
”Dr. Peter Goadsby”,18,19
”Dr. Jerome Goldstein”,19,19
”Dr. Neil H. Raskin ”,20,19
”Dr. Eric Collins”,null,20
”Dr. Kulveen Sachdeva”,null,20
”Dr. David E. Sosin ”,null,21
”Dr. David B. Kudrow”,null,22
"Sheena Aurora, MD",21,23
"Robert P. Cowan, MD",21,23
”Dr. John A. Myers”,22,24
”Dr. Pamela R. Kinder”,23,25
”Dr. Judy C. Lane”,23,25
”Dr. Cori Millen”,24,26
”Dr. Joseph Schmitt”,null,27
”Dr. Alexander Komm”,25,28
”Dr. Tanya R. Bilchik”,26,29
”Dr. James B Butler”,27,30
”Dr. Sung Ho Bae”,28,31
”[No current listings]”,null,32
”Dr. Todd C. Hartley”,null,33
”Dr. Samuel K. Snyder (DO)”,null,34
”Dr. Michael L. Waters”,null,35
”Dr. Steven A. Kobetz”,29,36
”Dr. Steve D. Wheeler”,30,36
”Dr. James D Torrisi”,null,37
”Dr. James L. Cimera”,31,38
”Dr. John F. Wilker (PCP)”,32,39
”Dr. Roberta S. Rose”,33,40
”Dr. Frank J. Wierichs”,null,41
”Dr. Ellis V. Hedaya”,34,42
”Dr. Jerome M. Walker”,null,43
”Dr. Kenneth J. Lazarus”,35,44
"Dr. Micheal Todd Williamson",36,45
”Dr. Robert G. Bashuk”,37,46
”[No current listings]”,null,47
”[No current listings]”,null,47
”Dr. Karen Burgner (PCP)”,38,48
”Diamond Doctors”,39,49
”Dr. Robert Wright”,40,49
”Dr. Kenneth L. Moore”,null,49
”Dr. Thomas Freedom”,41,50
”Dr. Trupti Gokani”,42,51
”Dr. Lawrence Robbins”,43,52
”Dr. Jeffery Royce”,44,53
”Dr. Robert J. Alonso”,45,54
”Dr. Bette G Maybury”,null,54
”Dr. Kathryn A. Hanlon”,46,55
”Dr.Larry Salberg”,46,55
”Dr. Joseph F. Seipel”,null,56
"Dr. Kelly Scott Bast (PCP)",47,57
”Dr. Kurt Vander Ploeg (PCP)”,nulll,58
”Dr. Christine M Boylan (PCP)”,null,59
”Dr. Jay S. Zwibelman”,null,60
”Dr. Martin S. Buckman (PCP)”,48,61
”Dr. Tammie L. Nelson ”,49,62
”Dr. Gautham P. Reddy”,50,62
”Dr. John B. Kelly”,51,63
”Dr. Tim McGhee”,52,64
”Dr. Steven Zuckerman”,null,65
”Dr. Srinivas Ganji”,null,66
”Dr.Steven J. Snatic ”,null,67
”Dr. Daniel J. Trahant”,null,68
”Dr. Timothy F. Himel”,null,69
"Ann S. Hurd, PA",53,70
”Dr. Richard T. Leschek”,54,71
”Dr. Marcia Ribeiro”,55,72
”Dr. Abraham Allan Genut”,null,73
”Dr. Elizabeth W. Loder”,56,74
”Dr. James Arthur Morrill (PCP)”,57,74
”Dr. Andreas P. Schoeck”,58,75
”Dr. Peter J. Zuromskis”,59,76
”Dr. Albert Ackil ”,null,77
”Dr. Bryan Lieberman”,null,78
”Dr. Paul S. Blachman”,null,79
”Dr. Joel R. Saper”,60,80
”Dr. James Gramprie”,61,80
”Dr. Wade M. Cooper”,62,80
”Dr. Michael Bolan (PCP)”,63,81
”Dr. Richard S. Ferro (Pain Medicine)”,null,82
”Dr. Michael T. Ku (PCP)”,64,83
”Dr. Lionel Glass”,65,84
”Dr. Jane M. Achenbach”,66,85
"Dr. John Peers Robrock (PCP)",67,86
”Dr. Michael P. Sethna”,68,87
”[No current listings]”,null,88
”Dr. Andrew Y. Chao (PCP)”,null,89
”Dr. Brett D. Hosley”,69,90
”Dr. Charles Weinstein”,70,91
"Dr. Gustavo Adolfo Granada",null,92
”Dr. Juan C. Escandon”,null,93
”Ryan Doctors”,71,93
”Dr. Scott M. Ehresman (PCP)”,72,94
"John Stefkovich, PA-C",73,95
”Dr. John F. Rothrock ”,74,96
”Dr. Jonathan W. Spivack”,75,97
”Dr. Patrick Carroll”,null,98
”Dr. Philip V. Savia”,76,99
”Dr. Joseph A. Carluccio”,null,100
”Dr. Michael Merkin”,77,101
”Dr. William L. Cantor (ENT)”,null,102
”Dr. Frederick Weisbrot”,null,103
”Dr. Kevin E. Hunter”,78,104
”Dr. Loretta L. Mueller”,79,105
”Dr. Melvin Paul Vigman”,80,106
”Dr. Ramon Manon-Espaillat”,81,107
”Dr. Terry D. Rolan”,82,108
”Dr. Joanna Katzman”,83,109
”Dr. Jeffrey D. Miller (PCP)”,84,109
”Dr. Harvey J. Featherstone”,null,110
”Dr. Norman L. Pflaster”,85,111
”Dr. Randall G. Berliner”,86,112
”Dr. Seymour Solomon”,87,112
”Dr. Derek G. Randall”,null,112
”Dr. Kevin W Thomas”,88,113
”Dr.  Robert S. Knapp”,89,114
”Dr. David Steiner”,90,115
"Dr. Mark W. Green",91,116
”Dr. Alexander Mauskop”,92,116
”Dr. Lawrence C. Newman”,93,116
”Dr. Keith Nichols (PCP)”,null,117
”Dr. Gilbert Proper ”,94,118
”Dr. Joseph I. Mann”,95,118
”Dr. Bruno P. Tolge”,96,119
”Dr. Patrick E. Poole ”,null,120
”Dr. Ronald M. Silverman ”,97,121
”Dr. Peter R. Kinkel”,98,122
”Dr. Morris Maizels”,99,123
”Dr. Alan Finkel”,100,124
”Dr. Howard W. Palay”,101,125
”Dr. Timothy Collins ”,102,126
"”Dr. Sara E. Sacco, MD”",103,127
”Dr. Rhonda W. Gabr”,104,128
”Dr. David A. Konanc”,104,128
"Dr. Aurora K. Pajeau, MD",105,129
”Dr. Paul G. Martin”,106,130
”[No current listings]”,null,131
”Dr. Joseph Nicolas”,107,132
”Dr. Mark Stillman”,108,133
”Dr. Stewart J. Tepper”,109,133
”Dr. Francis J. O'Donnell”,110,134
”Dr. John Horn (PCP)”,111,135
”Dr. Donata Rechnitzer (PCP)”,112,136
"Dr. Perry D. Mostov, D.O.",113,137
”Dr. Carl Ansevin”,null,138
”Dr. Jay K. Johnson”,114,139
"Dr. Trudy Milner",115,139
”Dr. Gerald Riess”,116,140
"Dr. John Watkins",117,141
”Dr. Michael Cohen ”,118,142
”Dr. Todd D Rozen”,119,143
”Dr. Abraham Ashkenazi”,null,144
"Dr. Edward A. Gumm (PCP)",120,145
”Dr. Stephen C. Ross”,121,146
”Dr. Jill M. Constantine (PCP)”,null,147
”Dr. Gregory Cooper”,122,148
”Dr. Steven Mandel”,null,149
”Dr. Stephen D. Silberstein”,123,149
”Dr. William B. Young”,123,149
”Dr. Robert G. Kaniecki”,124,150
”Dr. John B. Talbott”,125,150
”Dr. Steven D. Grossinger”,126,151
”[No current listings]”,null,152
"Dr. Martha Parker Hester (PCP)",127,153
”Dr. B.  Martin Hester (PCP)”,127,153
”[No current listings]”,null,154
”Dr. Constance Johnson”,128,155
”Dr. E. Arthur Franklin (PCP)”,null,156
”Dr. Michael H. DeShazo”,129,157
”Dr. Jan Lewis Brandes ”,130,158
”Dr. David V. Lounsberry (PCP)”,131,159
”Dr. Rexford K. Anderson”,null,160
”Dr. Robert M. Cain”,132,161
”Dr. Craig DuBois”,133,161
”Dr. Rajat Gupta”,134,161
”Dr. Marci A. Roy ”,135,161
”Dr. Sheila Shung”,null,161
"Dr. M. Vestal Caperton (PCP)",null,162
”Dr. Gary Sharpless (PCP)”,136,162
”Dr. Stuart B. Black”,137,163
”Dr. Steven P. Herzog”,138,163
”Dr. John Claude Krusz”,139,163
”Dr. Maureen Wooten Watts”,137,163
”Dr. John A. Sklar”,null,164
”Dr. Warren H Hunt”,140,165
”Dr. Howard S. Derman”,141,166
"Dr. Herbert P. Edmundson, Jr.",142,166
”Dr. Leonard Hershkowitz”,143,166
”Dr. Ninan T. Mathew”,144,166
"Lori Meadors, PA",144,166
”Dr. Richard Hamer”,145,167
”Dr. Philip S. Blum”,146,168
"Dr. John Harney",147,169
”Dr. Preston E. Harrison”,148,170
”Dr. R. Wade Oakden”,149,171
”Dr. Diana D Banks”,150,172
”Dr. Dana DeWitt”,151,173
"Dr. Kathleen B. Digre (Neuro-Ophthalmology)",152,173
”Dr. Lynn R. Webster (Pain Management)”,153,173
”Dr. Jeffrey J. Juchau (PCP)”,154,174
”Dr. Robert Shapiro”,155,175
”Dr. Peter J. Szostak”,null,176
”Dr. Stuart Robert Stark”,156,177
"Priscilla F. Potter, MD",157,178
”Dr. Steven D. Nack ”,158,179
”Dr. Michael Mareska  ”,159,180
"Kara Clark, NP",159,180
”Dr. Allen R. Fenderson”,160,181
”Dr. Naurang S Gill”,161,182
”Dr Lily Jung Henson”,null,183
”Dr. Sylvia Lucas”,162,184
”Dr. Elena Robinson”,163,184
”Dr. Ivy J. Dreizin”,164,185
”Dr. Donald J. DeBruyn (PCP)”,165,186
”Dr. Suzanne M. Wilkerson (PCP)”,166,187
”Dr. Pamela V. Gedney”,null,188
”Dr. Michele M. Klasinski”,167,188
”Dr. Werner J. Becker”,null,189
”Dr. Arnolda Eloff ”,null,189
"Dr. Grant K. Campbell (PCP)",null,190
"Dr. R. Gordon Robinson",null,191
"Dr. Doug Hobson",null,192
”Dr. R. Blaine Taylor Foell”,null,193
”Dr. Heather Elaine Mills (PCP)”,null,194
”Dr. Lucian Sitwell ”,null,194
”Dr. Marek Gawel ”,null,195
”Montreal Migraine Doctors”,168,196
"Dr. André F. Gagnon",null,197
”Dr. Christopher Voll ”,null,198